,external_gene_name
2995,TRAP1
2996,PAICS
2997,PPAT
2998,DKC1
2999,RPA1
3000,NASP
3001,SRRM1
3002,PSAT1
3003,RPL35
3004,RPLP1
3005,RPS2
3006,IMPA2
3007,RPS8
3008,KIF2C
3009,RPS27A
3010,HSPD1
3011,SIGMAR1
3012,NR6A1
3013,CHEK1
3014,EIF4E
3015,CENPH
3016,RBPMS
3017,CBS
3018,RPL8
3019,ALPL
3020,GMPS
3021,WDR43
3022,RFC4
3023,GNL3
3024,CDCA7L
3025,PSIP1
3026,STOML2
3027,BRD7
3028,PHB
3029,RPSA
3030,EIF1AX
3031,TOMM5
3032,TYMS
3033,NPM1
3034,RPS17
3035,TFDP1
3036,WDHD1
3037,RPL10A
3038,LSM2
3039,CBSL
3040,SLC25A5
3041,ELOVL5
3042,ATP1A2
3043,VCAN
3044,HEXB
3045,SLC2A3
3046,EIF4B
3047,OAT
3048,ATP1B3
3049,ADGRL1
3050,SCARB1
3051,SEMA3A
3052,SLC25A3
3053,DNAJC10
3054,ITGB5
3055,MMP2
3056,PIR
3057,ERP29
3058,FXYD5
3059,PAPOLA
3060,AARS
3061,SLC7A8
3062,SEMA6A
3063,DSP
3064,SCD
3065,CDC34
3066,LGALS1
3067,EIF3L
3068,SRSF5
3069,PGK1
3070,ZNF423
3071,CYB5B
3072,EIF3E
3073,GPI
3074,FKBP8
3075,NAMPT
3076,FGF8
3077,SLC9A3R1
3078,KRT18
3079,WNT5B
3080,PTK7
3081,CCNG1
3082,CDX1
3083,FXR1
3084,C3orf52
3085,SSR3
3086,DHCR24
3087,ATP5F1
3088,ACAT2
3089,LYPLA1
3090,MTIF3
3091,GLO1
3092,COX6B1
3093,DNAJC8
3094,PTPN12
3095,SAT1
3096,LDLR
3097,EIF2S3
3098,TPT1
3099,LARS
3100,HSD17B4
3101,SLC38A2
3102,FST
3103,YARS
3104,FADS2
3105,SPRY2
3106,TXN
3107,PRCP
3108,STRA6
3109,LRPPRC
3110,SSB
3111,WDR12
3112,SLC39A8
3113,UQCRC2
3114,NKD1
3115,CPNE2
3116,G6PC3
3117,DYM
3118,FKBP10
3119,RPL13A
3120,PGD
3121,LMO4
3122,IL17RD
3123,SSBP2
3124,BTF3
3125,MDH2
3126,EBP
3127,EIF3H
3128,HSD17B12
3129,EIF3M
3130,FADS1
3131,ALDOA
3132,LYPD6B
3133,CFDP1
3134,ATP5G3
3135,OXA1L
3136,CCT8
3137,C14orf2
3138,UQCRB
3139,EEF1A1
3140,FGF17
3141,SHC1
3142,FDPS
3143,RPL29
3144,S100A11
3145,FAM175A
3146,STT3B
3147,RPL9
3148,NDUFS4
3149,CITED2
3150,CDX2
3151,RBPMS2
3152,YWHAB
3153,ZNF146
3154,ATP5H
3155,FTH1
3156,SLC3A2
3157,MMADHC
3158,GBX2
3159,SLC25A6
3160,HSPA4
3161,MLLT3
3162,QARS
3163,CYCS
3164,RPL38
3165,RARG
3166,DHCR7
3167,USMG5
3168,EIF3F
3169,ETV4
3170,NQO1
3171,SHMT2
3172,PTP4A2
3173,CLDN6
3174,APOO
3175,TCN2
3176,PMEL
3177,POLR1D
3178,INSIG1
3179,S100A4
3180,TOMM7
3181,METTL9
3182,PCBP2
3183,CNOT7
3184,OSTC
3185,RPL39
3186,SP5
3187,POU5F1
3188,RACK1
3189,CLIC1
3190,PCDHGC3
3191,LY6G6D
